20220304.11.28.05;46217881;842393671
20220304.11.28.15;46229244;842585395
20220304.11.28.25;46233438;842762921
20220304.11.28.35;46246754;842950732
20220304.11.28.45;46251999;843126823
20220304.11.28.55;46261021;843308310
20220304.11.29.05;46273078;843506103
20220304.11.29.15;46291896;843719424
20220304.11.29.25;46315810;843968169
20220304.11.29.35;46327077;844145666
20220304.11.29.45;46335378;844325223
20220304.11.29.55;46339674;844502101
20220304.11.30.05;46344400;844679822
20220304.11.30.15;46349281;844856368
20220304.11.30.25;46370245;845090803
20220304.11.30.30;46394984;845244482
20220304.11.30.35;46413762;845373008
20220304.11.30.40;46417106;845502543
20220304.11.30.45;46421213;845629028
20220304.11.30.50;46425041;845755407
20220304.11.30.55;46428378;845882088
20220304.11.31.00;46436110;846015448
20220304.11.31.05;46439432;846145021
20220304.11.31.10;46446192;846273262
20220304.11.31.15;46450865;846401329
20220304.11.31.20;46453885;846528697
20220304.11.31.25;46459205;846657269
20220304.11.31.30;46471848;846790830
20220304.11.31.35;46475081;846919668
20220304.11.31.40;46478853;847046127
20220304.11.31.45;46482246;847175825
20220304.11.31.50;46487250;847310115
20220304.11.31.55;46499628;847447120
20220304.11.32.00;46503935;847575401
20220304.11.32.05;46510507;847711129
20220304.11.32.10;46543818;847847335
20220304.11.32.15;46557473;847975753
20220304.11.32.21;46564960;848108065
20220304.11.32.30;46659545;848777378
20220304.11.32.35;46678734;848947780
20220304.11.32.40;46682388;849078471
